1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
typeName,id,GoA,baseTrackCost,baseStationCost,scissorsCrossoverCost,DEEP,STD,CUT,AG,EL,Electrification,Voltage,Track Gauge,Loading Gauge,parallelTrackSpacing,trackClearance,Check,Usage
DC 600V (GoA1 | TRA | MS),std_cdc-1_tra_ms,GoA1,50000,63750000,15000000,4.11,1.83,0.91,0.30,0.77,tr-above,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
APMs DC 1.5kV (GoA4 | TRS | MW),aps_hv-4_trs_mw,GoA4,63883,82500000,18937500,4.39,1.95,0.98,0.30,0.79,tr-side,High Voltage DC,APMs,Metro Wide,2.27,1.08,FALSE,
DC 750V (GoA1 | TRA | RER),std_mdc-1_tra_rer,GoA1,50000,63750000,15000000,4.42,1.97,0.98,0.30,0.79,tr-above,Modern DC,Standard,RER Narrow,2.32,1.11,FALSE,
1.6_Metre Diesel (GoA1 | NON | LSS),ire_non-1_non_lss,GoA1,41250,63750000,7500000,3.38,1.50,0.75,0.30,0.80,none,None,1.6_Metre,London S Stock,2.37,1.13,FALSE,
1.6_Metre Diesel (GoA0 | NON | LSS),ire_non-0_non_lss,GoA0,30938,45000000,4875000,3.38,1.50,0.75,0.30,0.80,none,None,1.6_Metre,London S Stock,2.37,1.13,FALSE,
DC 600V (GoA2 | TRU | AAR),std_cdc-2_tru_aar,GoA2,49500,75000000,15000000,4.68,2.08,1.04,0.30,0.82,tr-under,Classical DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 1.5kV (GoA2 | CAT | AAR),std_hv-2_cat_aar,GoA2,42500,75000000,12750000,4.02,1.79,0.89,0.30,0.82,catenary,High Voltage DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 750V (GoA4 | CAT | AAR),std_mdc-4_cat_aar,GoA4,48875,82500000,15937500,4.02,1.79,0.89,0.30,0.82,catenary,Modern DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 1.5kV (GoA4 | CAT | UIC),std_hv-4_cat_uic,GoA4,48875,82500000,15937500,4.15,1.85,0.92,0.30,0.83,catenary,High Voltage DC,Standard,UIC / ERA Standard,2.62,1.26,FALSE,
DC 1.5kV (GoA4 | CAT | MS),std_hv-4_cat_ms,GoA4,48875,82500000,15937500,3.50,1.55,0.78,0.30,0.77,catenary,High Voltage DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 1.5kV (GoA4 | CAT | LSS),std_hv-4_cat_lss,GoA4,48875,82500000,15937500,3.83,1.70,0.85,0.30,0.80,catenary,High Voltage DC,Standard,London S Stock,2.37,1.13,FALSE,
AC 25-Grid (GoA2 | CAT | UIC),std_iac-2_cat_uic,GoA2,42500,75000000,12750000,4.15,1.85,0.92,0.30,0.83,catenary,International AC,Standard,UIC / ERA Standard,2.62,1.26,FALSE,
AC 25-Grid (GoA1 | CAT | UIC),std_iac-1_cat_uic,GoA1,42500,63750000,12750000,4.15,1.85,0.92,0.30,0.83,catenary,International AC,Standard,UIC / ERA Standard,2.62,1.26,FALSE,
AC 25-Grid (GoA0 | CAT | UIC),std_iac-0_cat_uic,GoA0,31875,45000000,8287500,4.15,1.85,0.92,0.30,0.83,catenary,International AC,Standard,UIC / ERA Standard,2.62,1.26,FALSE,
DC 825V (GoA1 | TRU | MW),std_ukr-1_tru_mw,GoA1,49500,63750000,15000000,4.31,1.91,0.96,0.30,0.79,tr-under,Ukranian Voltage,Standard,Metro Wide,2.27,1.08,FALSE,
DC 825V (GoA2 | TRU | MW),std_ukr-2_tru_mw,GoA2,49500,75000000,15000000,4.31,1.91,0.96,0.30,0.79,tr-under,Ukranian Voltage,Standard,Metro Wide,2.27,1.08,FALSE,
DC 750V (GoA4 | TRU | MW),std_mdc-4_tru_mw,GoA4,56925,82500000,18750000,4.31,1.91,0.96,0.30,0.79,tr-under,Modern DC,Standard,Metro Wide,2.27,1.08,FALSE,
DC 1.2kV (GoA1 | CAT | REM),std_sv-1_cat_rem,GoA1,42500,63750000,12750000,3.89,1.73,0.86,0.30,0.81,catenary,Spanish Voltage,Standard,REM,2.42,1.16,FALSE,
DC 1.2kV (GoA0 | CAT | REM),std_sv-0_cat_rem,GoA0,31875,45000000,8287500,3.89,1.73,0.86,0.30,0.81,catenary,Spanish Voltage,Standard,REM,2.42,1.16,FALSE,
Metre DC 600V (GoA1 | CAT | BER),m_cdc-1_cat_ber,GoA1,46750,63750000,12750000,3.03,1.35,0.67,0.30,0.72,catenary,Classical DC,Metre,Berlin 2.3m,1.77,0.83,FALSE,
Metre DC 600V (GoA0 | CAT | BER),m_cdc-0_cat_ber,GoA0,35063,45000000,8287500,3.03,1.35,0.67,0.30,0.72,catenary,Classical DC,Metre,Berlin 2.3m,1.77,0.83,FALSE,
DC 750V (GoA1 | TRU | MW),std_mdc-1_tru_mw,GoA1,49500,63750000,15000000,4.31,1.91,0.96,0.30,0.79,tr-under,Modern DC,Standard,Metro Wide,2.27,1.08,FALSE,
DC 750V (GoA2 | TRU | MW),std_mdc-2_tru_mw,GoA2,49500,75000000,15000000,4.31,1.91,0.96,0.30,0.79,tr-under,Modern DC,Standard,Metro Wide,2.27,1.08,FALSE,
AC 15-16.6 (GoA1 | CAT | AAR),std_ceac-1_cat_aar,GoA1,42500,63750000,12750000,4.02,1.79,0.89,0.30,0.82,catenary,Central European AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
AC 15-16.6 (GoA0 | CAT | AAR),std_ceac-0_cat_aar,GoA0,31875,45000000,8287500,4.02,1.79,0.89,0.30,0.82,catenary,Central European AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 1.2kV (GoA1 | TRS | AAR),std_sv-1_trs_aar,GoA1,50500,63750000,15150000,4.78,2.12,1.06,0.30,0.82,tr-side,Spanish Voltage,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 1.2kV (GoA0 | TRS | AAR),std_sv-0_trs_aar,GoA0,37875,45000000,9847500,4.78,2.12,1.06,0.30,0.82,tr-side,Spanish Voltage,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
Soviet DC 750V (GoA4 | TRU | LIRR),sov_mdc-4_tru_lirr,GoA4,62618,82500000,18750000,4.99,2.22,1.11,0.30,0.85,tr-under,Modern DC,Soviet,LIRR / Metro North,2.72,1.31,FALSE,
Soviet DC 750V (GoA2 | TRU | LIRR),sov_mdc-2_tru_lirr,GoA2,54450,75000000,15000000,4.99,2.22,1.11,0.30,0.85,tr-under,Modern DC,Soviet,LIRR / Metro North,2.72,1.31,FALSE,
Soviet DC 750V (GoA1 | TRU | LIRR),sov_mdc-1_tru_lirr,GoA1,54450,63750000,15000000,4.99,2.22,1.11,0.30,0.85,tr-under,Modern DC,Soviet,LIRR / Metro North,2.72,1.31,FALSE,
Soviet DC 3kV (GoA1 | CAT | CPH),sov_uhv-1_cat_cph,GoA1,46750,63750000,12750000,4.62,2.05,1.03,0.30,0.88,catenary,Soviet UHV DC,Soviet,Copenhagen S-Tog,2.97,1.43,FALSE,
Soviet DC 3kV (GoA0 | CAT | CPH),sov_uhv-0_cat_cph,GoA0,35063,45000000,8287500,4.62,2.05,1.03,0.30,0.88,catenary,Soviet UHV DC,Soviet,Copenhagen S-Tog,2.97,1.43,FALSE,
Soviet AC 25-Grid (GoA1 | CAT | LIRR),sov_iac-1_cat_lirr,GoA1,46750,63750000,12750000,4.29,1.91,0.95,0.30,0.85,catenary,International AC,Soviet,LIRR / Metro North,2.72,1.31,FALSE,
Soviet AC 25-Grid (GoA0 | CAT | LIRR),sov_iac-0_cat_lirr,GoA0,35063,45000000,8287500,4.29,1.91,0.95,0.30,0.85,catenary,International AC,Soviet,LIRR / Metro North,2.72,1.31,FALSE,
Metre DC 750V (GoA1 | CAT | UN),m_mdc-1_cat_un,GoA1,46750,63750000,12750000,3.17,1.41,0.70,0.30,0.73,catenary,Modern DC,Metre,Ultra-Narrow,1.87,0.88,FALSE,
Metre DC 750V (GoA0 | CAT | UN),m_mdc-0_cat_un,GoA0,35063,45000000,8287500,3.17,1.41,0.70,0.30,0.73,catenary,Modern DC,Metre,Ultra-Narrow,1.87,0.88,FALSE,
AC 15-16.6 (GoA1 | CAT | MS),std_ceac-1_cat_ms,GoA1,42500,63750000,12750000,3.50,1.55,0.78,0.30,0.77,catenary,Central European AC,Standard,Metro Standard,2.12,1.01,FALSE,
AC 15-16.6 (GoA0 | CAT | MS),std_ceac-0_cat_ms,GoA0,31875,45000000,8287500,3.50,1.55,0.78,0.30,0.77,catenary,Central European AC,Standard,Metro Standard,2.12,1.01,FALSE,
AC 25-Grid (GoA4 | CAT | LIRR),std_iac-4_cat_lirr,GoA4,48875,82500000,15937500,4.29,1.91,0.95,0.30,0.85,catenary,International AC,Standard,LIRR / Metro North,2.72,1.31,FALSE,
1.6_Metre DC 750V (GoA4 | TRU | UIC),ire_mdc-4_tru_uic,GoA4,62618,82500000,18750000,4.84,2.15,1.08,0.30,0.83,tr-under,Modern DC,1.6_Metre,UIC / ERA Standard,2.62,1.26,FALSE,
1.6_Metre DC 3kV (GoA1 | CAT | AAR),ire_uhv-1_cat_aar,GoA1,46750,63750000,12750000,4.02,1.79,0.89,0.30,0.82,catenary,Soviet UHV DC,1.6_Metre,U.S. Passenger Standard,2.52,1.21,FALSE,
1.6_Metre DC 3kV (GoA0 | CAT | AAR),ire_uhv-0_cat_aar,GoA0,35063,45000000,8287500,4.02,1.79,0.89,0.30,0.82,catenary,Soviet UHV DC,1.6_Metre,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 750V (GoA2 | FR | RER),std_mdc-2_fr_rer,GoA2,57500,75000000,16500000,5.09,2.26,1.13,0.30,0.79,four-rail,Modern DC,Standard,RER Narrow,2.32,1.11,FALSE,
DC 750V (GoA1 | FR | RER),std_mdc-1_fr_rer,GoA1,57500,63750000,16500000,5.09,2.26,1.13,0.30,0.79,four-rail,Modern DC,Standard,RER Narrow,2.32,1.11,FALSE,
