Ready?,name,Train Type,track-types,desc,maxSpeed (m/s),maxAcceleration,maxDeceleration,capacityPerCar,minCars,maxCars,carsPerCarSet,carLength,trainWidth,maxStationLength,carCost,baseTrackCost,baseStationCost,scissorsCrossoverCost,canCrossRoads,maxSpeedLocalStation,Old?,trainOperationalCostPerHour,carOperationalCostPerHour,color,Multipliers,Min Capacity,Max Capacity,Manufacturer,Train Category,Cities,Nation,Cont,Generic?,Cities2,Nation2
TRUE,Mark III (VAN),Automated Metro,600V Auto Metro (TRS|MS),The Innovia Metro is an automated rapid transit system family built by Alstom/Bombardier that have been in service across North America since 1985. This specific model is based on the Mark III used in Vancouver since 2016. Acceleration and decceleration are guesstimates.,22.2,1.00,1.00,133,4,4,4,17.03,2.65,100,795790,63000,99225000,19845000,FALSE,13,FALSE,400,40,#2c5bb0,4.50|2.00|1.00|0.30|0.80,532,532,Bombardier,Metro,VAN,CA,North America,FALSE,Vancouver,Canada
TRUE,Rotem EMU (VAN),Automated Metro,750V Auto Metro (TRA|AAR),The Rotem is an automated EMU built by Hyundai for the Vancouver 600V Auto Metro (TRS|MS)'s Canada Line that entered service in 2009.,22.2,1.00,1.00,167,2,3,1,20.00,2.65,80,897815,62500,98437500,19687500,FALSE,13,FALSE,400,40,#F8D92B,5.63|2.50|1.25|0.30|0.90,334,501,Hyundai,Metro,VAN,CA,North America,FALSE,Vancouver,Canada
TRUE,CRRC HR4000 (LA),Standard Metro,750V Metro (TRA|AAR),The HR4000 is a subway EMU built by CRRC for the 750V Metro (TRA|AAR)'s heavy rail lines that entered service in 2024. Acceleration is guessimated.,30.6,1.34,1.00,246,2,6,2,22.86,3.05,150,2781250,62500,93750000,18750000,FALSE,13,FALSE,500,50,#E3131B,5.63|2.50|1.25|0.30|0.90,492,1476,CRRC,Metro,LA,US,North America,FALSE,Los Angeles,United States of America
TRUE,P3010 LRV (LA),Standard LRT,750V LRT (CAT|MS),The P3010 is an articulated low-floor light-rail vehicle built by Kinki Sharyo that has been in service in LA since 2016.,28.9,1.34,1.56,87,4,6,2,13.57,2.66,90,1916667,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#111111,6.75|3.00|1.50|0.30|0.80,348,522,Kinki Sharyo,LRT,LA,US,North America,FALSE,Los Angeles,United States of America
TRUE,A650 (LA),Standard Metro,750V Metro (TRA|AAR),The A650 is a subway EMU built by Breda/AnsaldoBreda for the 750V Metro (TRA|AAR)'s heavy rail lines that entered service in 1993.,30.6,1.34,1.00,150,2,6,2,22.68,3.05,140,3239189,62500,93750000,18750000,FALSE,13,TRUE,700,70,#c9141b,5.63|2.50|1.25|0.30|0.90,300,900,Kinki Sharyo,Metro,LA,US,North America,FALSE,Los Angeles,United States of America
TRUE,MR-73 (MTL),Rubber Metro,Montreal Metro,The MR-73 is a rubber-tire heavy metro EMU built by Bombardier for the Montreal Metro that entered service in 1976. Cost is an estimate.,20.1,1.43,1.43,160,3,9,3,16.93,2.50,160,2500000,75000,112500000,20250000,FALSE,13,TRUE,840,84,#FFCD00,4.50|2.00|1.00|0.30|0.80,480,1440,Bombardier,Metro,MTL,CA,North America,FALSE,Montreal,Canada
TRUE,MultiLevel Coach III EMU,Standard Commuter,"NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR)",The MultiLevel Coach III is a commuter rail EMU built by Bombardier/Alstom that entered service in 2006. They are used on multiple networks across Eastern North America.,44.7,0.80,1.05,135,3,12,1,25.91,3.05,320,4800000,50000,75000000,15000000,TRUE,15,FALSE,600,60,#00A3E3,8.44|3.75|1.88|0.30|0.90,405,1620,Bombardier,Commuter,NYC,US,North America,FALSE,New York City,United States of America
TRUE,ALP45-BMLC,Dual-Mode Commuter,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR), 1.5kV Main Line (CAT|AAR)",The Bombardier ALP-45 is a dual-mode locomotive that first entered service in 2010. This specific trainset carries passengers with Bombardier MultiLevel Coaches in their trailer configuration.,44.7,0.72,1.05,150,4,10,1,25.91,3.05,320,5701599,37500,56250000,11250000,TRUE,15,FALSE,650,65,#F9A533,8.44|3.75|1.88|0.30|0.90,600,1500,Bombardier,Commuter,"NYC, MTL","US, CA","North America, North America",FALSE,"New York City, Montreal","United States of America, Canada"
TRUE,ALP46-BMLC,Standard Commuter,"NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR)",The Bombardier ALP-45 is an electric locomotive that first entered service in 2001. This specific trainset carries passengers with Bombardier MultiLevel Coaches in their trailer configuration.,44.7,0.72,1.05,150,4,10,1,25.91,3.05,320,5701599,50000,75000000,15000000,TRUE,15,FALSE,600,60,#EE3E42,8.44|3.75|1.88|0.30|0.90,600,1500,Bombardier,Commuter,NYC,US,North America,FALSE,New York City,United States of America
TRUE,M8 (NYC),Standard Commuter,"NYC: M-N Grand Central, NEC 12.5-60, 25-GF Main Line (CAT|AAR)",The M8 is a commuter rail EMU built by Kawasaki for the Metro-North Railroad that entered service in 2011.,40.2,0.89,1.34,120,2,8,2,25.91,3.18,220,1858684,62000,93000000,18750000,TRUE,15,FALSE,600,60,#0059FF,5.63|2.50|1.25|0.30|0.90,240,960,Kawasaki,Commuter,NYC,US,North America,FALSE,New York City,United States of America
TRUE,M7 (NYC),Standard Commuter,"NYC LIRR Electric, NYC: M-N Grand Central, NEC 12.5-60, 25-GF Main Line (CAT|AAR)",The M7 is a commuter rail EMU built by Bombardier for the MTA's LIRR and MNCR that entered service in 2011. Cost is an estimate.,35.8,0.89,1.34,115,2,14,2,25.91,3.20,370,2000000,62500,93750000,18750000,TRUE,15,FALSE,600,60,#0044C4,5.63|2.50|1.25|0.30|0.90,230,1610,Bombardier,Commuter,NYC,US,North America,FALSE,New York City,United States of America
TRUE,SC-SL4,Diesel Commuter,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR), 1.5kV Main Line (CAT|AAR)","The Siemens Charger is a family of diesel locomotives that first entered service in 2017. This specific trainset carries passengers with Bombardier Shoreliner IVs, as used by MNCR.",44.7,0.69,1.30,145,2,8,1,25.91,3.05,300,1750000,37500,56250000,11250000,TRUE,15,FALSE,800,80,#002160,8.44|3.75|1.88|0.30|0.90,290,1160,Siemens,Commuter,NYC,US,North America,FALSE,New York City,United States of America
TRUE,MPX-VRE,Diesel Commuter,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR), 1.5kV Main Line (CAT|AAR)",The MPI MPXpress is a line of diesel locomotives that first entered service in 2003. This specific trainset carries passengers with the Virginia Rail Express's nameless cars from Sumitomo/Nippon Sharyo. Cost is an estimate.,31.3,0.61,1.00,200,2,8,1,25.91,2.99,240,1750000,37500,56250000,11250000,TRUE,15,FALSE,800,80,#EE3E42,8.44|3.75|1.88|0.30|0.90,400,1600,"MPI,Nippon Sharyo,Sumitomo",Commuter,DC,US,North America,FALSE,Washington D.C.,United States of America
TRUE,BR Class 357,Standard Commuter,25-GF Main Line (CAT|MW),The Electrostar (BR 357) is a commuter rail EMU built by Adtranz/Bombardier for c2c that entered service in 2000. It is the first of the Electrostar family.,44.4,0.65,1.00,100,4,8,4,20.20,2.8,240,1550011,50000,75000000,15000000,TRUE,15,FALSE,600,60,#B71C8C,6.75|3.00|1.50|0.30|0.80,400,800,ADtranz,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 720,Standard Commuter,25-GF Main Line (CAT|MW),"The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 720 as used on the London, Tilbury and Southend line.",44.4,0.90,1.00,132,5,10,5,24.20,2.77,250,2187331,50000,75000000,15000000,TRUE,15,FALSE,600,60,#ED028C,6.75|3.00|1.50|0.30|0.80,660,1320,Alstom,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 165,Diesel Commuter,"Diesel Main Line (MW), 25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Networker Turbo (BR 165) is a commuter rail DMU built by BREL for British Railways that entered service in 1991. It is now operated by GWE and Chiltern Railways. Cost is an estimate.,33.3,0.80,1.00,100,2,6,1,23.50,2.81,150,1500000,37500,56250000,11250000,TRUE,15,TRUE,1120,112,#1C2D47,6.75|3.00|1.50|0.30|0.80,200,600,BREL,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 360,Standard Commuter,25-GF Main Line (CAT|MW),The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 360 as used by EMR for their Luton Airport Express line.,49.2,0.98,1.10,109,4,4,4,20.85,2.80,90,1136675,50000,75000000,15000000,TRUE,15,FALSE,600,60,#CFAB2A,6.75|3.00|1.50|0.30|0.80,436,436,Siemens,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 360-2,Standard Commuter,25-GF Main Line (CAT|MW),The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 360-2.,44.4,0.98,1.10,109,5,5,5,20.85,2.80,110,1136675,50000,75000000,15000000,TRUE,15,FALSE,600,60,#CFAB2A,6.75|3.00|1.50|0.30|0.80,545,545,Siemens,Commuter,Generic,Generic,Generic,FALSE,Generic,Generic
TRUE,BR Class 345,Standard Commuter,25-GF Main Line (CAT|MW),The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 345 as used on the Elizabeth Line.,40.3,1.00,1.10,166,9,9,9,22.75,2.77,210,2331641,50000,75000000,15000000,TRUE,15,FALSE,600,60,#11A6C8,6.75|3.00|1.50|0.30|0.80,1494,1494,Alstom,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 171/172,Diesel Commuter,"Diesel Main Line (MW), 25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Turbostar (BR 171/172) is a commuter rail DMU built by Bombardier for GTR that entered service in 2003. Cost is an estimate.,44.4,0.50,0.60,114,2,6,1,23.62,2.69,150,1500000,37500,56250000,11250000,TRUE,15,FALSE,800,80,#00A54F,6.75|3.00|1.50|0.30|0.80,228,684,Bombardier,Commuter,"LDN, BHM","UK, UK","Europe, Europe",FALSE,"London, Birmingham (UK)","United Kingdom, United Kingdom"
TRUE,BR Class 377,Standard Commuter,"25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Electrostar (BR 377) is a commuter rail EMU built by Bombardier for Southern and Southeastern that entered service in 2003. It is part of the Electrostar family.,44.4,0.65,1.00,91,3,5,1,20.20,2.8,240,2046015,50000,75000000,15000000,TRUE,15,FALSE,600,60,#00FF77,6.75|3.00|1.50|0.30|0.80,273,455,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 387,Standard Commuter,"25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Electrostar (BR 387) is a commuter rail EMU built by Bombardier that entered service in 2014. It is part of the Electrostar family.,47.2,0.65,1.00,100,4,8,4,20.39,2.8,240,1396878,50000,75000000,15000000,TRUE,15,FALSE,600,60,#231F20,6.75|3.00|1.50|0.30|0.80,400,800,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 379,Standard Commuter,25-GF Main Line (CAT|MW),The Electrostar (BR 387) is a commuter rail EMU built by Bombardier that entered service in 2014. It is part of the Electrostar family.,47.2,0.65,1.00,100,4,8,4,20.39,2.8,240,1761846,50000,75000000,15000000,TRUE,15,FALSE,600,60,#CE9C61,6.75|3.00|1.50|0.30|0.80,400,800,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 700,Standard Commuter,"25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Siemens Desiro City is a family of EMUs in service in the UK since 2016. This model is the EMU labeled Class 700 as used on Thameslink,44.4,0.85,1.10,145,8,12,4,20.22,2.80,250,1914400,50000,75000000,15000000,TRUE,15,FALSE,600,60,#B0016A,6.75|3.00|1.50|0.30|0.80,1160,1740,Siemens,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 745,Standard Commuter,25-GF Main Line (CAT|MW),The Stadler FLIRT is a family of MUs in service around the world since 2004. This is the EMU classed as BR 745 that is operated by Greater Anglia.,44.4,0.90,0.90,65,12,12,12,19.72,2.72,250,2201180,50000,75000000,15000000,TRUE,15,FALSE,600,60,#8A8FA4,6.75|3.00|1.50|0.30|0.80,780,780,Stadler,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 755,Standard Commuter,"Diesel Main Line (MW), 25-GF Main Line (CAT|MW)",The Stadler FLIRT is a family of MUs in service around the world since 2004. This is the Bi-Mode MU classed as BR 755 'Basil' that is operated by Greater Anglia.,44.4,0.90,0.70,70,3,4,1,29.14,2.72,125,2201180,37500,56250000,11250000,TRUE,15,FALSE,600,60,#D8E0FF,6.75|3.00|1.50|0.30|0.80,210,280,Stadler,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 150,Diesel Commuter,"Diesel Main Line (MW), 25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Diesel Main Line (MW) (BR 150) is a commuter rail DMU built by BREL that entered service in 1984. Capacity is artificially higher due to game processing requirements. Cost is an estimate.,26.9,0.50,0.60,100,2,2,2,19.93,2.82,50,1500000,37500,56250000,11250000,TRUE,15,TRUE,1120,112,#68912F,6.75|3.00|1.50|0.30|0.80,200,200,BREL,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 350,Standard Commuter,"25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 350 as used by London Northwestern.,44.4,0.96,0.96,60,4,4,4,20.34,2.80,100,966174,50000,75000000,15000000,TRUE,15,FALSE,600,60,#8BC63E,6.75|3.00|1.50|0.30|0.80,240,240,Siemens,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 730,Standard Commuter,25-GF Main Line (CAT|MW),The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 730 as used by London Northwestern Railway.,40.2,0.90,1.00,70,3,9,3,24.20,2.77,250,740033,50000,75000000,15000000,TRUE,15,FALSE,600,60,#B3FF51,6.75|3.00|1.50|0.30|0.80,210,630,Alstom,Commuter,"LDN, BHM","UK, UK","Europe, Europe",FALSE,"London, Birmingham (UK)","United Kingdom, United Kingdom"
TRUE,BR Class 158/159,Diesel Commuter,"Diesel Main Line (MW), 25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Diesel Main Line (MW) Express (BR 158/159) is a commuter rail DMU built by BREL that entered service in 1984. Capacity is artificially higher due to game processing requirements.,26.9,0.50,0.60,67,3,6,1,19.93,2.70,150,1636812,37500,56250000,11250000,TRUE,15,TRUE,1120,112,#EE1D23,6.75|3.00|1.50|0.30|0.80,201,402,BREL,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 444,Standard Commuter,600V Main Line (TRA|MW),The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 444 as used by South Western.,44.4,0.80,0.80,75,5,10,5,23.00,2.80,250,909340,62500,93750000,18750000,TRUE,15,FALSE,600,60,#A5151A,4.50|2.00|1.00|0.30|0.80,375,750,Siemens,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 450,Standard Commuter,600V Main Line (TRA|MW),The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 444 as used by South Western.,44.4,0.98,0.98,75,4,8,4,19.70,2.80,200,1020322,62500,93750000,18750000,TRUE,15,FALSE,600,60,#700E13,4.50|2.00|1.00|0.30|0.80,300,600,Siemens,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 455,Standard Commuter,600V Main Line (TRA|MW),The Mark 3-based BR 455 is a commuter rail EMU built by BREL that entered service in 1983. Capacity is artificially higher due to game processing requirements.,33.5,0.58,0.58,107,4,8,4,19.90,2.82,165,1091208,62500,93750000,18750000,TRUE,15,TRUE,840,84,#49090D,4.50|2.00|1.00|0.30|0.80,428,856,BREL,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 458,Standard Commuter,600V Main Line (TRA|MW),The Alstom Coradia Juniper is a family of EMUs in service in the UK since 2000. This model is the EMU labeled Class 458 as used by South Western.,33.5,0.98,0.98,70,4,8,4,20.50,2.80,170,1500411,62500,93750000,18750000,TRUE,15,FALSE,600,60,#7F1017,4.50|2.00|1.00|0.30|0.80,280,560,Alstom,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 701,Standard Commuter,25-GF Main Line (CAT|MW),The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 701 as used by South Western.,40.2,0.96,0.90,130,5,10,5,20.80,2.77,220,1627719,50000,75000000,15000000,TRUE,15,FALSE,600,60,#FF2128,6.75|3.00|1.50|0.30|0.80,650,1300,Alstom,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 375,Standard Commuter,600V Main Line (TRA|MW),The Electrostar (BR 375) is a commuter rail EMU built by Bombardier for Southeastern that entered service in 2003. It is part of the Electrostar family.,44.4,0.62,1.00,91,4,8,4,20.20,2.8,175,1299057,62500,93750000,18750000,TRUE,15,FALSE,600,60,#0072BC,4.50|2.00|1.00|0.30|0.80,364,728,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 376,Standard Commuter,600V Main Line (TRA|MW),The Electrostar (BR 376) is a commuter rail EMU built by Bombardier for Southeastern that entered service in 2003. It is part of the Electrostar family.,33.3,0.66,1.00,56,4,8,4,20.20,2.8,175,1299057,62500,93750000,18750000,TRUE,15,FALSE,600,60,#009DFF,4.50|2.00|1.00|0.30|0.80,224,448,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 465,Standard Commuter,600V Main Line (TRA|MW),The Networker (BR 465) is a commuter rail EMU built by BREL for Southeastern that entered service in 1992. It is part of the Networker family.,33.3,0.98,0.98,84,4,8,4,20.10,2.81,165,954807,62500,93750000,18750000,TRUE,15,TRUE,840,84,#005E99,4.50|2.00|1.00|0.30|0.80,336,672,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 466,Standard Commuter,600V Main Line (TRA|MW),The Networker (BR 466) is a commuter rail EMU built by BREL for Southeastern that entered service in 1992. It is part of the Networker family.,33.3,0.98,0.98,84,4,8,2,20.80,2.80,210,954807,62500,93750000,18750000,TRUE,15,FALSE,600,60,#004570,4.50|2.00|1.00|0.30|0.80,336,672,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 707,Standard Commuter,600V Main Line (TRA|MW),The Siemens Desiro City is a family of EMUs in service in the UK since 2016. This model is the EMU labeled Class 707 as used by Southeastern.,44.4,0.85,1.10,145,5,10,5,20.30,2.80,210,818406,62500,93750000,18750000,TRUE,15,FALSE,600,60,#003251,4.50|2.00|1.00|0.30|0.80,725,1450,Siemens,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,DLR B07,Automated Metro,750V LRT (TRU|MS),"The B07 is Automated Metro rolling stock for London's Docklands Light Railway, built by Bombardier. Cost is an estimate.",22.2,1.40,0.80,142,2,6,2,28.80,2.65,180,1250000,62000,93000000,18750000,TRUE,13,FALSE,400,40,#00AFAA,4.50|2.00|1.00|0.30|0.80,284,852,Bombardier,Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,Flexity Swift LF,Standard LRT,750V LRT (CAT|MS),The Flexity Swift is a series of articulated tram/LRT/light metro vehicles produced by Bombardier/Alstom that have been in service for decades around the world. This is a genericized version of the low-floor models.,22.2,1.20,1.30,69,3,12,3,9.67,2.65,120,1720157,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#76BC21,6.75|3.00|1.50|0.30|0.80,207,828,Bombardier,LRT,"Generic, LDN, IST","Generic, UK, TR","Generic, Europe, West Asia",TRUE,"Generic, London, Istanbul","Generic, United Kingdom, Turkey"
TRUE,Silverliner V,Standard Commuter,"25-GF Main Line (CAT|AAR), NEC 12.5-60, NEC 12-25",The Silverliner V is an EMU built by Hyundai Rotem for SEPTA Regional Rail that entered service in 2010.,44.4,1.34,1.12,120,2,5,1,25.60,3.20,135,2283333,50000,75000000,15000000,TRUE,15,FALSE,600,60,#4C748C,8.44|3.75|1.88|0.30|0.90,240,600,Hyundai,Commuter,"PHI, DEN","US, US","North America, North America",FALSE,"Philadelphia, Denver","United States of America, United States of America"
TRUE,MPX-BBLC,Diesel Commuter,"U.S. Commuter Diesel, NEC 12.5-60, 25-GF Main Line (CAT|AAR), NEC 12-25, 1.5kV Main Line (CAT|AAR)",The MPI MPXpress is a line of diesel locomotives that first entered service in 2003. This specific trainset carries passengers with Bombardier BiLevel Coaches.,31.3,0.61,1.00,170,2,12,1,25.91,3.00,320,4485000,37500,56250000,11250000,TRUE,15,FALSE,800,80,#4A7729,8.44|3.75|1.88|0.30|0.90,340,2040,MPI,Commuter,"Generic, TOR, SF, LA, SEA, SLC","Generic, CA, US, US, US, US","Generic, North America, North America, North America, North America, North America",TRUE,"Generic, Toronto, San Francisco, Los Angeles, Seattle, Salt Lake City","Generic, Canada, United States of America, United States of America, United States of America, United States of America"
TRUE,RL Series 4 (BOS),Standard Metro,600V Metro (TRU|AAR),The 4th Series of rolling stock for the MBTA Red Line is a subway EMU built by CRRC. Acceleration is guessimated.,28.2,1.23,1.23,167,4,6,2,21.28,3.05,135,1996479,62000,93000000,18750000,FALSE,13,FALSE,500,50,#DA291C,5.63|2.50|1.25|0.30|0.90,668,1002,CRRC,Metro,BOS,US,North America,FALSE,Boston,United States of America
TRUE,OL Series 14 (BOS),Standard Metro,600V Metro (TRU|MW),The 14th Series of rolling stock for the MBTA Orange Line is an EMU built by CRRC. Acceleration is guessimated.,28.2,1.23,1.23,150,4,6,2,19.80,2.82,125,1996479,62000,93000000,18750000,FALSE,13,FALSE,500,50,#ED8B00,4.50|2.00|1.00|0.30|0.80,600,900,CRRC,Metro,BOS,US,North America,FALSE,Boston,United States of America
TRUE,BL Series 5 (BOS),Standard Metro,"Boston Metro Blue Line, 600V Metro (TRU|MW)",The 5th Series of rolling stock for the MBTA Blue Line is an EMU built by Siemens. Acceleration is guessimated.,17.9,1.12,1.23,170,4,6,2,14.60,2.82,100,1851064,62000,93000000,18750000,FALSE,13,FALSE,500,50,#003DA5,6.75|3.00|1.50|0.30|0.80,680,1020,Siemens,Metro,BOS,US,North America,FALSE,Boston,United States of America
TRUE,Type 8 LRV (BOS),Standard LRT,600V LRT (CAT|MS),The Type 8 is an articulated LRV built by AnsaldoBreda for the MBTA Green Line that entered service in 1999.,17.9,1.25,1.56,46,6,9,3,7.52,2.64,75,750000,50000,75000000,15000000,TRUE,6.7,TRUE,280,28,#00843D,6.75|3.00|1.50|0.30|0.80,276,414,AnsaldoBreda,LRT,BOS,US,North America,FALSE,Boston,United States of America
TRUE,Type 9 LRV (BOS),Standard LRT,600V LRT (CAT|MS),The Type 9 is an articulated LRV built by CAF for the MBTA Green Line that entered service in 2018. Acceleration is guessimated.,17.9,1.25,1.56,55,6,9,3,7.32,2.64,75,1638889,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#00BC54,6.75|3.00|1.50|0.30|0.80,330,495,CAF,LRT,BOS,US,North America,FALSE,Boston,United States of America
TRUE,Type 10 LRV (BOS),Standard LRT,600V LRT (CAT|MS),The Type 10 is an articulated LRV being built by CAF for the MBTA Green Line that will enter service in 2027. Acceleration is guessimated.,17.9,1.25,1.56,57,7,14,7,4.95,2.64,75,1135854,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#00FF6E,6.75|3.00|1.50|0.30|0.80,399,798,CAF,LRT,BOS,US,North America,FALSE,Boston,United States of America
TRUE,BART D/E,Standard Metro,BART,"The Fleet of the Future, classified as D and E series, is an electric EMU built by Bombardier/Alstom as a custom order for BART. They entered service in 2018. I genuinely could not find capacity numbers so I guesstimated.",31.3,1.34,1.34,220,2,10,2,21.34,3.20,250,2185366,68750,103125000,20625000,FALSE,13,FALSE,500,50,#0099D8,5.63|2.50|1.25|0.30|0.90,440,2200,Bombardier,Metro,SF,US,North America,FALSE,San Francisco,United States of America
TRUE,GTW 2/6 (SF),Diesel LRT,"Diesel Light Rail (AAR), U.S. Commuter Diesel",This is a variant of the Stadler GTW 2/6 which is one of the rare and bizarre Diesel Light Rail Vehicles and is in service in Austin and San Francisco.,33.5,1.00,1.00,100,2,6,2,20.45,2.95,130,3000000,37500,56250000,11250000,TRUE,6.7,FALSE,300,30,#FFE800,8.44|3.75|1.88|0.30|0.90,200,600,Stadler,LRT,"SF, DFW","US, US","North America, North America",FALSE,"San Francisco, Dallas","United States of America, United States of America"
TRUE,SC-BBLC,Diesel Commuter,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR)","The Siemens Charger is a family of diesel locomotives that first entered service in 2017. This specific trainset carries passengers with Bombardier BiLevel Coach (aka Adessia Coach) cars, as used by SF's ACE.",55.9,0.69,1.30,170,2,8,1,25.91,3.00,300,4485000,37500,56250000,11250000,TRUE,15,FALSE,800,80,#A89A8F,8.44|3.75|1.88|0.30|0.90,340,1360,Siemens,Commuter,"Generic, SF","Generic, US","Generic, North America",TRUE,"Generic, San Francisco","Generic, United States of America"
TRUE,KISS,Standard Commuter,25-GF Main Line (CAT|AAR),The Stadler KISS is a family of bilevel EMU commuter rail vehicles in service since 2011 across the world. Stats vary so this is an average.,55.9,0.95,1.10,228,3,8,1,25.00,2.95,210,3489162,50000,75000000,15000000,TRUE,15,FALSE,600,60,#E31837,8.44|3.75|1.88|0.30|0.90,684,1824,Stadler,Commuter,SF,US,North America,FALSE,San Francisco,United States of America
TRUE,Nippon Sharyo DMU,Diesel Commuter,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR)",The Nippon Sharyo DMU is an acutely named vehicle which has been in service since 2015 in California and Toronto.,35.3,0.35,0.94,150,2,6,1,12.95,3.05,300,1538914,37500,56250000,11250000,TRUE,15,FALSE,800,80,#EB7300,8.44|3.75|1.88|0.30|0.90,300,900,Nippon Sharyo,Commuter,"Generic, TOR, SF","Generic, CA, US","Generic, North America, North America",TRUE,"Generic, Toronto, San Francisco","Generic, Canada, United States of America"
TRUE,S200-HF (SF),Standard LRT,"600V LRT (CAT|MS), 750V LRT (CAT|MS), 1.5kV LRT (CAT|MS)",The S200 series are articulated high-floor light-rail vehicles built by Siemens that have been in service across North America since 2016. This specific model is based on the model used in San Francisco since 2017. Capacity is artificially higher due to game processing requirements.,22.4,1.34,1.34,100,2,6,2,11.43,2.65,110,2196377,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#CC3847,6.75|3.00|1.50|0.30|0.80,200,600,Siemens,LRT,SF,US,North America,FALSE,San Francisco,United States of America
TRUE,MBTA Commuter Rail,Standard Commuter,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR)",Honestly I cannot come up with a good summary of these things so just know its whatever Boston uses for their rail. Acceleration is guesstimated. Cost is an estimate.,38.9,0.50,0.50,179,4,8,1,26.01,3.00,215,2500000,37500,56250000,11250000,TRUE,15,FALSE,600,60,#81286B,8.44|3.75|1.88|0.30|0.90,716,1432,"MPI,Hyundai",Commuter,BOS,US,North America,FALSE,Boston,United States of America
